Date,Category,Value,Product,Sales,Direction,zeroes,zeros + 1
2023-01-01,A,28,Product1,754.0,East,0,29
2023-01-02,B,39,Product3,110.0,North,0,40
2023-01-03,C,32,Product2,398.0,East,0,33
2023-01-04,B,8,Product1,522.0,East,0,9
2023-01-05,B,26,Product3,869.0,North,0,27
2023-01-06,B,54,Product3,192.0,West,0,55
2023-01-07,A,16,Product1,936.0,East,0,17
2023-01-08,C,89,Product1,488.0,West,0,90
2023-01-09,C,37,Product3,772.0,West,0,38
2023-01-10,A,22,Product2,834.0,West,0,23
2023-01-11,B,7,Product1,842.0,North,0,8
2023-01-12,B,60,Product2,0.0,West,0,61
2023-01-13,A,70,Product3,628.0,South,0,71
2023-01-14,A,69,Product1,423.0,East,0,70
2023-01-15,A,47,Product2,893.0,West,0,48
2023-01-16,C,0,Product1,895.0,North,0,1
2023-01-17,C,93,Product2,511.0,South,0,94
2023-01-18,C,0,Product1,108.0,West,0,1
2023-01-19,A,31,Product2,578.0,West,0,32
2023-01-20,A,59,Product1,736.0,East,0,60
2023-01-21,C,82,Product3,606.0,South,0,83
2023-01-22,C,37,Product2,992.0,South,0,38
2023-01-23,B,62,Product3,942.0,North,0,63
2023-01-24,C,92,Product2,342.0,West,0,93
2023-01-25,A,24,Product2,458.0,East,0,25
2023-01-26,C,95,Product1,584.0,West,0,96
2023-01-27,C,71,Product2,619.0,North,0,72
2023-01-28,C,56,Product2,224.0,North,0,57
2023-01-29,B,0,Product3,617.0,North,0,1
2023-01-30,C,51,Product2,737.0,South,0,52
2023-01-31,B,50,Product3,735.0,West,0,51
2023-02-01,A,17,Product2,189.0,West,0,18
2023-02-02,B,63,Product3,338.0,South,0,64
2023-02-03,C,27,Product3,0.0,East,0,28
2023-02-04,C,70,Product3,669.0,West,0,71
2023-02-05,B,60,Product2,0.0,West,0,61
2023-02-06,C,36,Product3,177.0,East,0,37
2023-02-07,C,2,Product1,0.0,North,0,3
2023-02-08,C,94,Product1,408.0,South,0,95
2023-02-09,A,62,Product1,155.0,West,0,63
2023-02-10,B,15,Product1,578.0,East,0,16
2023-02-11,C,97,Product1,256.0,East,0,98
2023-02-12,A,93,Product3,164.0,West,0,94
2023-02-13,A,43,Product3,949.0,East,0,44
2023-02-14,A,96,Product3,830.0,East,0,97
2023-02-15,B,99,Product2,599.0,West,0,100
2023-02-16,B,6,Product1,938.0,South,0,7
2023-02-17,B,69,Product3,143.0,West,0,70
2023-02-18,C,65,Product3,182.0,North,0,66
2023-02-19,C,11,Product3,708.0,North,0,12
